"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GNE.NZ, Long, 2026-03-29 (Price: 2.16)",2026-04-17 (Price: 2.25),"4.17%, 19 days","83.33%, Past 12 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-17 (Price: 2.25), 4.17% above",19 days,14.79%/4.18%/7.53%,"12.34%, 12.5%",6.1 months/14 days/1.9 month,2026-12-19/2026-04-18/2026-06-19,5.02%,1.45%,3.57%,0.69,-0.0,2.2512/2.3226/2.29/3.3125/No Next Fib Ext/No Next Fib Ext/2.38,2.14/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),2.2
"EFN.TO, Long, 2026-03-29 (Price: 30.11)",2026-04-12 (Price: 32.09),"6.58%, 14 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-17 (Price: 32.73), 8.7% above",19 days,22.27%/10.41%/15.26%,"43.16%, 45.87%",2.6 months/7 days/1.1 month,2026-07-19/2026-04-08/2026-05-15,2.35%,9.68%,-7.33%,-0.15,0.49,33.952/34.7048/34.33/34.925/45.1741/70.5281/35.24,27.54/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),30.73
"BABA, Long, 2026-03-24 (Price: 125.48)",2026-04-14 (Price: 131.35),"4.68%, 21 days","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-17 (Price: 141.01), 12.38% above",24 days,12.26%/3.97%/6.72%,"17.99%, 17.99%",1.2 month/1 day/13 days,2026-05-15/2026-03-25/2026-04-11,12.35%,-8.19%,20.54%,1.04,-0.08,137.3755/133.9123/135.64/181.595/395.5515/453.696/147.02,122.41/67.495/108.0763/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),124.36
"XLY, Long, 2026-03-23 (Price: 110.12)",2026-04-13 (Price: 113.92),"3.45%, 21 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-04-17 (Price: 120.41), 9.34% above",25 days,8.7%/2.16%/4.06%,"15.04%, 17.25%",16 days/2 days/7 days,2026-04-15/2026-03-25/2026-04-02,4.47%,3.25%,1.22%,0.56,0.13,115.3177/114.5909/114.95/122.0862/125.4815/133.9156/116.45,107.74/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),109.78
"PG, Long, 2026-03-23 (Price: 143.99)",2026-04-17 (Price: 146.93),"2.04%, 25 days","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-04-17 (Price: 146.93), 2.04% above",25 days,3.6%/1.35%/2.49%,"8.75%, 11.0%",1.8 month/1 day/14 days,2026-06-09/2026-03-24/2026-04-12,5.85%,0.6%,5.25%,0.22,-0.12,152.4854/147.5754/150.03/179.4533/186.6499/209.3631/151.24,138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),146.15
"INDY, Long, 2026-03-16 (Price: 43.84)",2026-04-17 (Price: 45.49),"3.76%, 1.1 month","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-04-17 (Price: 45.49), 3.76% above",1.1 month,3.48%/1.45%/2.4%,"10.43%, 10.43%",26 days/4 days/10 days,2026-04-22/2026-03-21/2026-03-30,2.9%,-0.55%,3.45%,-0.83,-0.25,44.7256/44.8922/44.81/54.474/60.9145/68.1277/49.94,43.16/40.5875/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),43.83
"EMAMILTD.NS, Long, 2026-03-16 (Price: 424.1)",2026-04-17 (Price: 452.1),"6.6%, 1.1 month","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-04-17 (Price: 452.1), 6.6% above",1.1 month,6.17%/2.47%/3.64%,"6.86%, 7.63%",1.5 month/1 day/15 days,2026-05-20/2026-03-17/2026-04-06,12.01%,-3.33%,15.34%,0.85,-0.16,426.0084/439.5372/432.77/634.8/949.731/1026.7499/526.04,416.05/413.6/381.1799/329.2417/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),416.15
"NAUKRI.NS, Long, 2026-03-15 (Price: 952.4)",2026-04-17 (Price: 1054.55),"10.73%, 1.1 month","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-04-17 (Price: 1054.55), 10.73% above",1.1 month,11.73%/6.17%/8.95%,"22.33%, 28.55%",3.3 months/7 days/1.7 month,2026-08-05/2026-03-25/2026-05-27,1.69%,13.09%,-11.4%,-0.21,0.64,1436.7906/1037.6398/1237.22/1483.595/2223.4618/2377.3661/1284.51,816.3/662.12/920.5126/832.4874/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),966.0
"EURUSD=X, Long, 2026-03-10 (Price: 1.1617)",2026-04-14 (Price: 1.1769),"1.31%, 1.2 month","73.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-04-17 (Price: 1.1767), 1.29% above",1.3 month,1.61%/0.52%/0.97%,"2.53%, 3.21%",1.8 month/1 day/15 days,2026-05-27/2026-03-11/2026-03-31,3.62%,-0.39%,4.01%,-0.53,-0.63,1.177/1.173/1.18/1.1998/1.6296/1.7649/1.17,1.15/1.0069/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),1.1617
"UPS, Long, 2026-03-10 (Price: 100.92)",2026-04-14 (Price: 103.22),"2.28%, 1.2 month","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-04-17 (Price: 106.44), 5.47% above",1.3 month,14.23%/2.13%/5.51%,"12.35%, 12.35%",2.8 months/1 day/24 days,2026-07-09/2026-03-11/2026-04-13,6.51%,-7.67%,14.18%,-0.12,-0.41,104.321/106.4807/105.4/221.2667/228.7501/295.6013/No EMA 200 Target,99.94/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/97.18,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),100.225
"NU, Long, 2026-03-03 (Price: 14.76)",2026-04-16 (Price: 15.43),"4.54%, 1.5 month","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-03-03",Already confirmed,"2026-04-17 (Price: 15.34), 3.93% above",1.5 month,23.68%/2.44%/9.29%,"24.09%, 24.09%",2.1 months/1 day/20 days,2026-06-02/2026-03-04/2026-03-31,20.47%,5.34%,15.13%,1.63,0.4,15.4596/16.1312/15.8/16.285/No Next Fib Ext/No Next Fib Ext/15.37,14.73/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),14.68
"ETH-USD, Long, 2026-03-01 (Price: 1939.0667)",2026-04-12 (Price: 2192.2012),"13.05%, 1.4 month","100.0%, Past 10 years, 4","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-04-17 (Price: 2343.78), 20.87% above",1.6 month,33.31%/21.78%/26.76%,"-0.0%, 21.37%",1.6 month/14 days/1 month,2026-05-09/2026-03-21/2026-04-13,25.34%,17.52%,7.82%,1.25,0.91,2670.8705/2457.9609/2564.42/4922.7188/4887.278/5344.0381/2884.63,1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),1958.1396
"GBPSGD=X, Long, 2026-02-23 (Price: 1.7107)",2026-04-15 (Price: 1.725),"0.84%, 1.7 month","73.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-23",Already confirmed,"2026-04-17 (Price: 1.7167), 0.35% above",1.8 month,2.71%/0.41%/0.84%,"2.69%, 2.78%",1.9 month/1 day/14 days,2026-05-16/2026-02-24/2026-03-15,3.26%,-1.18%,4.44%,-0.66,-1.03,1.7278/1.7251/1.73/1.8577/4.0285/5.5304/1.72,1.71/1.6858/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),1.7104
"ETH-USD, Long, 2026-02-03 (Price: 2227.5588)",2026-04-13 (Price: 2370.7148),"6.43%, 2.3 months","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-04-16 (Price: 2343.78), 5.22% above",2.4 months,18.77%/4.94%/11.02%,"24.06%, 28.71%",1.1 month/1 day/9 days,2026-03-22/2026-02-04/2026-02-16,21.24%,1.2%,20.04%,0.5,0.3,2318.2204/2473.0358/2395.63/4922.7188/4887.278/5344.0381/2884.63,1472.55/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),2344.4458
"QQQ, Short, 2026-04-16 (Price: 640.47)",No Exit Yet,"-1.31%, 1 day","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-04-16",Already confirmed,"2026-04-17 (Price: 648.85), 1.31% above",1 day,1.64%/0.69%/1.03%,"2.57%, 1.72%",6 days/1 day/3 days,2026-04-24/2026-04-17/2026-04-20,4.6%,3.82%,0.78%,-4.4,0.47,630.3506/633.8732/632.11/256.995/610.7303/563.3658/598.89,No Recent Maxima/No Horizontal Resistance/836.2536/910.0135/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),639.215
"^NDX, Short, 2026-04-16 (Price: 26333.0)",No Exit Yet,"-1.29%, 1 day","100.0%, Past 4 years, 6","Daily, was CONFIRMED on 2026-04-16",Already confirmed,"2026-04-17 (Price: 26672.4336), 1.29% above",1 day,1.44%/0.71%/1.02%,"0%, 1.75%",6 days/1 day/3 days,2026-04-24/2026-04-17/2026-04-20,5.45%,3.82%,1.63%,-6.47,0.47,25861.6393/26064.4034/25963.02/10555.915/25025.4383/22796.2371/24609.97,No Recent Maxima/No Horizontal Resistance/33965.62/36701.6323/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),26256.8789
"AMZN, Short, 2026-04-15 (Price: 248.5)",No Exit Yet,"-0.83%, 2 days","100.0%, Past 4 years, 6","Daily, was CONFIRMED on 2026-04-15",Already confirmed,"2026-04-17 (Price: 250.56), 0.83% above",2 days,5.38%/0.94%/2.48%,"0%, 7.98%",24 days/3 days/11 days,2026-05-19/2026-04-19/2026-04-30,7.68%,3.82%,3.86%,0.88,0.22,232.4966/242.3372/237.42/86.995/231.81/213.1321/225.58,249.02/No Horizontal Resistance/317.6152/339.3352/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),249.25
"SOXX, Short, 2026-04-14 (Price: 401.24)",No Exit Yet,"-3.61%, 3 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-04-14",Already confirmed,"2026-04-17 (Price: 415.71), 3.61% above",3 days,4.31%/1.52%/2.87%,"3.28%, 6.71%",20 days/1 day/4 days,2026-05-12/2026-04-15/2026-04-19,8.75%,3.82%,4.93%,-0.42,0.61,No Target/389.7244/399.7/110.475/348.2242/301.3628/299.71,No Recent Maxima/No Horizontal Resistance/411.0319/449.8184/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),397.84
"AVGO, Short, 2026-04-14 (Price: 380.78)",No Exit Yet,"-6.77%, 3 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-04-14",Already confirmed,"2026-04-17 (Price: 406.54), 6.77% above",3 days,4.38%/1.69%/3.0%,"8.28%, 4.92%",8 days/1 day/4 days,2026-04-25/2026-04-15/2026-04-19,7.84%,3.82%,4.02%,5.09,1.29,379.2188/369.3566/374.29/64.6905/289.9336/196.1486/333.22,412.97/No Horizontal Resistance/441.6812/687.2138/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),377.9
"CNR.TO, Short, 2026-04-13 (Price: 152.89)",2026-04-15 (Price: 150.97),"1.26%, 2 days","100.0%, Past 4 years, 6","Daily, was CONFIRMED on 2026-04-13",Already confirmed,"2026-04-17 (Price: 151.16), 1.13% below",4 days,3.03%/0.97%/2.07%,"0%, 5.6%",28 days/2 days/11 days,2026-05-23/2026-04-15/2026-04-28,6.96%,3.82%,3.14%,2.95,-0.13,148.0128/149.7252/148.87/128.224/136.9828/86.815/136.9,154.51/168.08/218.156/349.4971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),151.87
"MX.TO, Short, 2026-04-12 (Price: 82.76)",2026-04-17 (Price: 74.24),"10.29%, 5 days","83.33%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-17 (Price: 74.24), 10.29% below",5 days,7.4%/2.52%/4.94%,"13.78%, 12.66%",1.2 month/7 days/17 days,2026-06-03/2026-04-22/2026-05-06,4.0%,4.79%,-0.79%,-0.65,0.3,78.9199/78.6717/78.8/38.425/80.4508/69.4599/58.02,90.57/No Horizontal Resistance/104.8718/111.623/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.67%/12/29 days (Across ALL Assets),70.59%/34/1 month (Across ALL Assets),83.68
"IMO.TO, Short, 2026-04-05 (Price: 181.66)",2026-04-17 (Price: 167.04),"8.05%, 12 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 167.04), 8.05% below",12 days,4.86%/3.69%/4.33%,"11.16%, 10.25%",2.3 months/21 days/1.4 month,2026-07-13/2026-05-05/2026-06-04,3.57%,4.79%,-1.22%,-0.97,0.31,170.9057/173.7941/172.35/60.8067/143.048/134.0661/135.88,No Recent Maxima/No Horizontal Resistance/188.7349/196.834/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.67%/12/29 days (Across ALL Assets),70.59%/34/1 month (Across ALL Assets),182.88
